last4,letter,raw,final
1921,R,Ritirato,Ritirato
2435,Z,Ritirato,Ritirato
2719,P,15,Ritirato
2848,P,9,Ritirato
3453,R,Ritirato,Ritirato
3458,T,15,Ritirato
3682,Z,Assente,Assente
3726,P,22,22
3770,V,Assente,Assente
3799,S,Assente,Assente
4479,P,23,23
4500,S,10,Ritirato
4505,P,Ritirato,Ritirato
4525,V,15,Ritirato
4597,S,Ritirato,Ritirato
4601,R,15,Ritirato
4603,R,22,22
4638,P,Assente,Assente
4654,V,Assente,Assente
4829,R,Assente,Assente
4830,R,Assente,Assente
4866,M,20,20
5025,P,Ritirato,Ritirato
5170,P,Ritirato,Ritirato
5358,O,14,Ritirato
6180,P,Assente,Assente
6319,S,Assente,Assente
6766,P,13,Ritirato
7487,P,12,Ritirato
7520,M,18,18
8204,T,Assente,Assente
8298,Z,28,28
8314,M,Ritirato,Ritirato
8462,P,20,20
8540,T,19,19
8655,A,Assente,Assente
8673,T,12,Ritirato
8857,P,25,25
8904,R,20,20
9014,V,16,Ritirato
9113,P,6,Ritirato
9189,P,Ritirato,Ritirato
9210,M,Respinto,Respinto
9406,Z,18,18
9457,P,Assente,Assente
9470,S,Ritirato,Ritirato
9636,S,Ritirato,Ritirato
