last4,letter,raw,final
0794,V,18,18
1880,V,9,Ritirato
2225,M,26,26
2287,P,18,18
2511,P,19,19
2840,T,22,22
2857,T,29,29
2863,S,18,18
2984,M,27,27
3453,R,Assente,Assente
3458,T,Assente,Assente
3462,N,16,Ritirato
3474,S,12,Ritirato
3682,Z,Assente,Assente
3901,R,21,21
4332,M,21,21
4430,S,Ritirato,Ritirato
4525,V,18,18
4565,M,24,24
4671,P,19,19
4768,P,5,Ritirato
4810,M,Assente,Assente
4936,M,23,23
4993,S,19,19
5025,P,24,24
5111,T,21,21
5289,M,12,Ritirato
5472,M,21,21
5473,M,Assente,Assente
5608,P,Assente,Assente
6837,P,14,Ritirato
7468,P,Ritirato,Ritirato
7722,S,Assente,Assente
8336,M,14,Ritirato
8537,P,Assente,Assente
8673,T,20,20
9004,S,23,23
9113,P,12,Ritirato
9141,P,24,24
9150,M,15,Ritirato
9297,M,Assente,Assente
9333,P,15,Ritirato
9334,M,30,30
9448,M,11,Ritirato
